location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"foscoe, nc",accident,2013-04-06,united states,non-fatal,glider,phoenix air,u15,1.0,reciprocating,0.0,0.0,0.0,0.0,355810N,0081497W,no,foscoe,nc
"sandy valley, nv",accident,2013-04-06,united states,non-fatal,airplane,socata,tbm 700,1.0,turbo prop,0.0,0.0,0.0,0.0,354542N,0115392W,no,sandy valley,nv
"collinsville, ok",accident,2013-04-07,united states,fatal,airplane,mooney,m20j,1.0,reciprocating,2.0,0.0,0.0,0.0,362155N,0955028W,no,collinsville,ok
"new castle, va",accident,2013-04-07,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,037290N,0080559W,no,new castle,va
"winston salem, nc",accident,2013-04-07,united states,non-fatal,airplane,piper,pa-28-181,1.0,reciprocating,0.0,0.0,0.0,0.0,003686N,0801311W,no,winston salem,nc
"cottonwood, id",accident,2013-04-07,united states,non-fatal,airplane,cessna,a185e,1.0,reciprocating,0.0,0.0,0.0,0.0,046135N,1163831W,no,cottonwood,id
"manvel, tx",accident,2013-04-08,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,3.0,0.0,292844N,0951935W,no,manvel,tx
"columbus, ga",accident,2013-04-08,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,323035N,0845611W,no,columbus,ga
"moose creek ranger station, id",accident,2013-04-09,united states,non-fatal,airplane,piper,pa-22-150,1.0,reciprocating,0.0,0.0,0.0,0.0,046715N,1145538W,no,moose creek ranger station,id
"silver peak, nv",accident,2013-04-10,united states,non-fatal,airplane,cirrus design corp,sr22,1.0,reciprocating,0.0,1.0,0.0,1.0,375412N,1174046W,no,silver peak,nv
"santa monica, ca",accident,2013-04-12,united states,non-fatal,airplane,beech,95-c55,2.0,reciprocating,0.0,0.0,0.0,0.0,034057N,0118274W,no,santa monica,ca
"ocean shores, wa",accident,2013-04-12,united states,non-fatal,helicopter,robinson helicopter company,r44 ii,1.0,reciprocating,0.0,0.0,2.0,0.0,047234N,0124844W,no,ocean shores,wa
"tullahoma, tn",accident,2013-04-12,united states,non-fatal,glider,schleicher alexander gmbh & co,ash 26 e,1.0,reciprocating,0.0,0.0,0.0,0.0,352248N,0861448W,no,tullahoma,tn
"san manuel, az",accident,2013-04-13,united states,non-fatal,airplane,beech,35-b33,1.0,reciprocating,0.0,1.0,0.0,1.0,323751N,0110383W,no,san manuel,az
"summersville, wv",accident,2013-04-13,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,1.0,0.0,381332N,0805214W,no,summersville,wv
"buffalo, sd",accident,2013-04-13,united states,non-fatal,helicopter,robinson helicopter company,r44 ii,1.0,reciprocating,0.0,0.0,0.0,0.0,454744N,1032548W,no,buffalo,sd
"mesquite, nv",accident,2013-04-14,united states,non-fatal,airplane,ercoupe,415-c,1.0,reciprocating,0.0,0.0,1.0,0.0,365346N,0114258W,no,mesquite,nv
"winnie, tx",accident,2013-04-14,united states,non-fatal,airplane,quad city ultralight acft corp,challenger i,1.0,reciprocating,0.0,1.0,0.0,1.0,029498N,0942552W,no,winnie,tx
"livingston, tx",accident,2013-04-14,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,030419N,0009514W,no,livingston,tx
"caldwell, id",accident,2013-04-15,united states,non-fatal,airplane,cessna,210b,1.0,reciprocating,0.0,0.0,0.0,0.0,433819N,0116385W,no,caldwell,id
